year,masa_g,long_mm
2016,0.29,10.5
2016,0.25,10.3
2016,0.27,10.14
2016,0.26,10.1
2016,0.24,10.3
2016,0.28,10.4
2016,0.089,18.9
2016,0.26,11.05
2016,0.12,18.9
2016,0.3,11.6
2016,0.21,11.1
2016,0.26,11.2
2016,0.25,11
2016,0.14,10.1
2016,0.31,12.5
2016,0.26,12.8
2016,0.303,12.2
2016,0.254,12.6
2016,0.137,11.6
2016,0.274,13.1
2016,0.316,12.2
2016,0.309,11.9
2016,0.314,12.2
2016,0.326,11.5
2016,0.288,11
2016,0.288,11.7
2016,0.293,12.6
2016,0.303,11.8
2016,0.148,12.4
2016,0.282,12.2
2016,0.287,12.4
2016,0.289,12.2
2016,0.308,12.6
2016,0.324,12.7
2016,0.316,11.3
2016,0.105,10.8
2016,0.328,12.4
2016,0.306,11.7
2016,0.277,12.3
2016,0.157,12.5
2016,0.275,12.6
2016,0.272,12.7
2016,0.306,12.4
2016,0.302,11.8
2016,0.247,11
2016,0.119,10.9
2016,0.237,11.1
2016,0.251,11.7
2016,0.283,11.9
2016,0.285,12.6
2016,0.298,13.4
2016,0.142,12.6
2016,0.262,12.8
2016,0.307,12.4
2016,0.242,11.2
2016,0.313,13
2016,0.292,13.5
2016,0.262,12.8
2016,0.247,11.2
2016,0.266,12.6
2016,0.266,10.1
2016,0.25,10.5
2016,0.24,10.94
2016,0.22,10
2016,0.25,9.85
2016,0.24,9.97
2016,0.25,9.98
2016,0.24,10.6
2016,0.21,9.85
2016,0.22,10.01
2016,0.23,9.77
2016,0.16,9.89
2016,0.2,9.87
2016,0.253,10.8
2016,0.12,9
2016,0.217,10.7
2016,0.246,9.5
2016,0.22,11.7
2016,0.22,11.8
2016,0.264,10.5
2016,0.243,11.5
2016,0.243,10.1
2016,0.231,9.7
2016,0.206,10.7
2016,0.211,9.8
2016,0.207,9.1
2016,0.23,9
2016,0.206,10.2
2016,0.214,9.5
2016,0.222,10.5
2016,0.219,10.2
2016,0.218,9.1
2016,0.211,9.3
2016,0.189,10.4
2016,0.2,9.2
2016,0.191,9.3
2016,0.203,10.6
2016,0.224,9.2
2016,0.208,10.1
2016,0.197,9.8
2016,0.225,10.1
2016,0.106,10.3
2016,0.201,9
2016,0.201,9.2
2016,0.202,10.8
2016,0.211,9.2
2016,0.217,9.3
2016,0.225,10.5
2016,0.231,9.3
2016,0.226,10.3
2016,0.243,10.2
2016,0.24,10.4
2016,0.209,9.1
2016,0.244,10.5
2016,0.229,9.3
2016,0.211,9
2016,0.251,9
2016,0.218,9
2016,0.239,9.4
2016,0.208,8.9
2016,0.093,10.4
2016,0.242,11.6
2016,0.226,9.4
2016,0.214,10
2016,0.236,11.5
2016,0.234,10.1
2016,0.205,10.5
2016,0.215,11.2
2016,0.218,10.2
2016,0.23,11.1
2016,0.212,9
