"year","masa_g","long_mm"
2016,0.204,8.3
2016,0.176,9.7
2016,0.282,12.2
2016,0.12,18.9
2016,0.22,9.9
2016,0.18,10.1
2016,0.3,11.6
2016,0.236,11.5
2016,0.266,12.6
2016,0.316,11.3
2016,0.254,12.6
2016,0.214,9.5
2016,0.253,10.8
2016,0.206,10.2
2016,0.232,9
2016,0.306,12.4
2016,0.266,10.1
2016,0.197,9.8
2016,0.229,8.4
2016,0.214,9.2
2017,0.326,12.5
2017,0.225,9.5
2017,0.25,10.8
2017,0.177,11
2017,0.32,12.8
2017,0.148,8.4
2017,0.246,9.1
2017,0.196,9.1
2017,0.186,10.3
2017,0.263,9.4
2017,0.23,10.2
2017,0.125,10
2017,0.203,9.6
2017,0.084,6.3
2017,0.133,9.7
2017,0.2,9.5
2017,0.254,12
2017,0.355,12.6
2017,0.329,12.1
2017,0.236,9.7
