arbol,grupo,fruto,semilla,L,masa,nsemillas
1,1,1,1,10.5,0.29,5
1,1,1,2,10.3,0.25,5
1,1,1,3,10.14,0.27,5
1,1,1,4,10.1,0.26,5
1,1,1,5,10.3,0.24,5
1,1,2,1,10.4,0.28,9
1,1,2,2,10.9,0.089,9
1,1,2,3,11.05,0.26,9
1,1,2,4,10.9,0.12,9
1,1,2,5,11.6,0.3,9
1,1,2,6,11.1,0.21,9
1,1,2,7,11.2,0.26,9
1,1,2,8,11,0.25,9
1,1,2,9,10.1,0.14,9
1,2,1,1,12.5,0.31,7
1,2,1,2,12.8,0.26,7
1,2,1,3,12.2,0.303,7
1,2,1,4,12.6,0.254,7
1,2,1,5,11.6,0.137,7
1,2,1,6,13.1,0.274,7
1,2,1,7,12.2,0.316,7
1,2,2,1,11.9,0.309,4
1,2,2,2,12.2,0.314,4
1,2,2,3,11.5,0.326,4
1,2,2,4,11,0.288,4
1,3,1,1,11.7,0.288,6
1,3,1,2,12.6,0.293,6
1,3,1,3,11.8,0.303,6
1,3,1,4,12.4,0.148,6
1,3,1,5,12.2,0.282,6
1,3,1,6,12.4,0.287,6
1,3,2,1,12.2,0.289,6
1,3,2,2,12.6,0.308,6
1,3,2,3,12.7,0.324,6
1,3,2,4,11.3,0.316,6
1,3,2,5,10.8,0.105,6
1,3,2,6,12.4,0.328,6
1,4,1,1,11.7,0.306,7
1,4,1,2,12.3,0.277,7
1,4,1,3,12.5,0.157,7
1,4,1,4,12.6,0.275,7
1,4,1,5,12.7,0.272,7
1,4,1,6,12.4,0.306,7
1,4,1,7,11.8,0.302,7
1,4,2,1,11,0.247,4
1,4,2,2,10.9,0.119,4
1,4,2,3,11.1,0.237,4
1,4,2,4,11.7,0.251,4
1,5,1,1,11.90,0.283,5
1,5,1,2,12.6,0.285,5
1,5,1,3,13.4,0.298,5
1,5,1,4,12.6,0.142,5
1,5,1,5,12.8,0.262,5
1,5,2,1,12.4,0.3070,7
1,5,2,2,11.2,0.242,7
1,5,2,3,13,0.313,7
1,5,2,4,13.5,0.292,7
1,5,2,5,12.8,0.262,7
1,5,2,6,11.2,0.247,7
1,5,2,7,12.6,0.2660,7
2,1,1,1,10.1,0.266,8
2,1,1,2,10.5,0.25,8
2,1,1,3,10.94,0.24,8
2,1,1,4,10,0.22,8
2,1,1,5,9.85,0.25,8
2,1,1,6,9.97,0.24,8
2,1,1,7,9.98,0.25,8
2,1,1,8,10.6,0.24,8
2,1,2,1,9.85,0.21,5
2,1,2,2,10.01,0.22,5
2,1,2,3,9.77,0.23,5
2,1,2,4,9.89,0.16,5
2,1,2,5,9.87,0.2,5
2,2,1,1,10.8,0.253,10
2,2,1,2,9,0.12,10
2,2,1,3,10.7,0.217,10
2,2,1,4,9.5,0.246,10
2,2,1,5,11.7,0.22,10
2,2,1,6,11.8,0.22,10
2,2,1,7,10.5,0.264,10
2,2,1,8,11.5,0.243,10
2,2,1,9,10.1,0.243,10
2,2,1,10,9.7,0.231,10
2,2,2,1,10.7,0.206,11
2,2,2,2,9.8,0.211,11
2,2,2,3,9.1,0.207,11
2,2,2,4,9,0.23,11
2,2,2,5,10.2,0.206,11
2,2,2,6,9.5,0.214,11
2,2,2,7,10.5,0.222,11
2,2,2,8,10.2,0.219,11
2,2,2,9,9.1,0.218,11
2,2,2,10,9.3,0.211,11
2,2,2,11,10.4,0.189,11
2,3,1,1,9.2,0.2,13
2,3,1,2,9.3,0.191,13
2,3,1,3,10.6,0.203,13
2,3,1,4,9.2,0.224,13
2,3,1,5,10.1,0.208,13
2,3,1,6,9.8,0.197,13
2,3,1,7,10.1,0.225,13
2,3,1,8,10.3,0.106,13
2,3,1,9,9,0.201,13
2,3,1,10,9.2,0.201,13
2,3,1,11,10.8,0.202,13
2,3,1,12,9.2,0.211,13
2,3,1,13,9.3,0.217,13
2,3,2,1,10.5,0.225,10
2,3,2,2,9.3,0.231,10
2,3,2,3,10.3,0.226,10
2,3,2,4,10.2,0.243,10
2,3,2,5,10.4,0.24,10
2,3,2,6,9.1,0.209,10
2,3,2,7,10.5,0.244,10
2,3,2,8,9.3,0.229,10
2,3,2,9,9,0.211,10
2,3,2,10,9,0.251,10
2,4,1,1,9,0.218,3
2,4,1,2,9.4,0.239,3
2,4,1,3,8.9,0.208,3
2,4,1,1,10.4,0.093,10
2,4,1,2,11.6,0.242,10
2,4,1,3,9.4,0.226,10
2,4,1,4,10,0.214,10
2,4,1,5,11.5,0.236,10
2,4,1,6,10.1,0.234,10
2,4,1,7,10.5,0.205,10
2,4,1,8,11.2,0.215,10
2,4,1,9,10.2,0.218,10
2,4,1,10,11.1,0.23,10
2,5,1,1,9,0.212,4
2,5,1,2,8.4,0.229,4
2,5,1,3,9.3,0.213,4
2,5,1,4,9.9,0.2620,4
2,5,2,1,10.2,0.2270,6
2,5,2,2,10.2,0.252,6
2,5,2,3,10.6,0.257,6
2,5,2,4,11.1,0.25,6
2,5,2,5,11.2,0.273,6
2,5,2,6,10,0.2620,6
3,1,1,1,10.1,0.18,7
3,1,1,2,9.8,0.2,7
3,1,1,3,9.7,0.2,7
3,1,1,4,9.5,0.21,7
3,1,1,5,9.2,0.24,7
3,1,1,6,9.6,0.21,7
3,1,1,7,8.8,0.19,7
3,1,2,1,9.1,0.24,8
3,1,2,2,10.6,0.2,8
3,1,2,3,10.5,0.2,8
3,1,2,4,8.9,0.22,8
3,1,2,5,10.8,0.24,8
3,1,2,6,10.7,0.2,8
3,1,2,7,10,0.2,8
3,1,2,8,11,0.21,8
3,2,1,1,9.7,0.157,12
3,2,1,2,10.1,0.173,12
3,2,1,3,8.8,0.211,12
3,2,1,4,9.6,0.22,12
3,2,1,5,9.6,0.197,12
3,2,1,6,9.1,0.182,12
3,2,1,7,10,0.192,12
3,2,1,8,8.6,0.123,12
3,2,1,9,7.3,0.032,12
3,2,1,10,10.1,0.187,12
3,2,1,11,9.2,0.181,12
3,2,1,12,9.9,0.214,12
3,2,2,1,9.5,0.234,8
3,2,2,2,10,0.196,8
3,2,2,3,10,0.197,8
3,2,2,4,9.5,0.203,8
3,2,2,5,9.7,0.247,8
3,2,2,6,9.5,0.202,8
3,2,2,7,9.7,0.204,8
3,2,2,8,9.4,0.211,8
3,3,1,1,10.3,0.206,10
3,3,1,2,10.3,0.215,10
3,3,1,3,9.1,0.233,10
3,3,1,4,9.9,0.22,10
3,3,1,5,9.5,0.198,10
3,3,1,6,10.3,0.233,10
3,3,1,7,9.1,0.215,10
3,3,1,8,9.4,0.217,10
3,3,1,9,10.3,0.219,10
3,3,1,10,9.1,0.222,10
3,3,2,1,10.5,0.199,11
3,3,2,2,9.9,0.188,11
3,3,2,3,10.1,0.212,11
3,3,2,4,8.3,0.114,11
3,3,2,5,9.5,0.192,11
3,3,2,6,10.8,0.206,11
3,3,2,7,10,0.216,11
3,3,2,8,10.1,0.103,11
3,3,2,9,10.5,0.187,11
3,3,2,10,9.1,0.209,11
3,3,2,11,10.2,0.23,11
3,4,1,1,8.5,0.2,8
3,4,1,2,9.5,0.1,8
3,4,1,3,9,0.232,8
3,4,1,4,9,0.235,8
3,4,1,5,8.7,0.196,8
3,4,1,6,9.7,0.218,8
3,4,1,7,9.5,0.219,8
3,4,1,8,9.4,0.192,8
3,4,2,1,7.2,0.082,7
3,4,2,2,9.2,0.214,7
3,4,2,3,9,0.203,7
3,4,2,4,9.3,0.193,7
3,4,2,5,8.3,0.205,7
3,4,2,6,8.2,0.232,7
3,4,2,7,8.9,0.197,7
3,5,1,1,9.6,0.221,5
3,5,1,2,8.6,0.2160,5
3,5,1,3,8.5,0.207,5
3,5,1,4,7.1,0.085,5
3,5,1,5,8.1,0.221,5
3,5,2,1,8.3,0.204,7
3,5,2,2,8.2,0.223,7
3,5,2,3,8.3,0.237,7
3,5,2,4,9.7,0.176,7
3,5,2,5,8.6,0.203,7
3,5,2,6,9.2,0.1860,7
3,5,2,7,9.1,0.176,7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
